1	2	3	4	5	6	7	8	PapBSCn2Kr02	PapBSCn1Kr02	PapBSCn1Ms17	PapBSCn3Ms17	PapBSCn2Ms17	PapBSCn3Kr02	PapBSSc1Mer5	PapBSAp1Mer1	PapBSXt1Mer2	PapBSAp1Mer2	PapBSAp1Mer5	PapBSXt2Mer1	PapBSSc1Mer1	PapBSSc1Mer2	PapBSXt1Mer5	
Unassigned							New.CleanUp.ReferenceOTU162	0	16	23	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	koll13			New.CleanUp.ReferenceOTU163	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae			New.CleanUp.ReferenceOTU165	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU166	0	0	0	0	0	0	0	1	1	4	1	0	0	0	1	
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales				New.CleanUp.ReferenceOTU167	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	JdFBGBact			New.CleanUp.ReferenceOTU169	3	0	0	3	1	1	0	0	0	0	0	0	0	0	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU170	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Oscillatoriophycideae	Chroococcales	Cyanobacteriaceae			New.CleanUp.ReferenceOTU172	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU173	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU176	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae			New.CleanUp.ReferenceOTU177	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU178	0	0	0	0	0	0	0	0	2	0	0	6	0	0	1	
