1	2	3	4	5	6	7	8	T2	T5	T7	L6	OV5	L3	L1	L7	OV2	OV7	T3	OV8	L5	L4	T1	T4	T6	OV4	OV6	OV1	OV3	L2	L8	
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae			809256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	marcusii	812921	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae			1137597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Chloroplast	Stramenopiles				587648	0	5	7	0	10	0	0	0	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales				202381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium	acnes	4425358	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			517116	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae			805785	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			798634	5	4	31	4	17	1	4	0	7	14	3	6	6	6	4	8	9	4	4	0	4	0	0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	ACK-M1			805542	1	0	0	0	0	2	0	0	0	0	2	0	0	0	4	4	11	1	3	2	3	3	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	johnsonii	1512104	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales				4392826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans		346376	1	0	1	0	0	1	0	0	1	6	0	0	0	0	2	3	9	1	5	0	5	0	2	
Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter		282928	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Chloroplast	Stramenopiles				340298	0	5	1	0	3	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Synechococcophycideae	Pseudanabaenales	Pseudanabaenaceae	Leptolyngbya		815062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Bacteria	Spirochaetes	[Leptospirae]	[Leptospirales]	Leptospiraceae	Turneriella		4017244	2	0	12	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	
