1	2	3	4	5	6	7	8	anser6	anser4	anser1	anser3	anser8	anser5	anser9	anser7	anser2	
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria			1918929	28	0	0	0	0	0	0	0	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		332471	1	1	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella		359809	0	1	0	0	1	0	0	0	0	
Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	p-75-a5		789275	0	0	0	0	0	0	2	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			3424623	0	0	0	0	0	0	3	3	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			526794	0	0	0	0	1	0	2	1	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	cereus	746246	1	12	0	1	0	101	1	1	1	
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae			319708	0	0	3	0	0	0	0	0	0	
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Slackia		347628	0	0	0	0	2	0	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			544859	0	0	0	0	5	0	1	1	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae			3070686	13	23	3	0	2	0	0	1	0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales				537662	0	0	0	0	0	0	4	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			188348	0	0	0	0	10	0	5	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	eutactus	362501	0	2	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			759061	0	1	1	0	2	0	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		247557	0	0	0	0	0	0	3	1	0	
Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae			656307	1	0	0	0	1	1	0	0	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae			4416629	15	0	0	0	0	2	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		532569	0	2	0	0	0	0	0	0	0	
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus		544419	2	2	0	0	2	1	0	0	0	
Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	cc_115		362470	0	0	0	0	3	0	1	2	0	
Bacteria	Chloroflexi	Thermomicrobia	JG30-KF-CM45				4474178	0	0	0	0	5	0	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales				174353	0	0	0	21	0	0	0	0	0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		208949	0	0	0	0	11	0	4	0	0	
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	[Weeksellaceae]	Chryseobacterium		4478426	1	5	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	[Weeksellaceae]	Chryseobacterium		1087966	0	0	0	0	0	0	3	0	1	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			349680	0	0	0	0	0	0	10	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			776980	0	25	0	0	0	0	0	0	0	
